REFSEQ	parent
XM_014906422	FBgn0092182
XM_014906423	FBgn0092182
XM_001961782	FBgn0092182
XM_014906424	FBgn0092182
XM_014906425	FBgn0092182
XM_001961784	FBgn0092183
XM_001961785	FBgn0092184
XM_001961788	FBgn0092185
XM_014906426	FBgn0092185
XM_001961789	FBgn0092186
XM_001961791	FBgn0092187
XM_001961793	FBgn0092188
XM_001961794	FBgn0092189
XM_001961796	FBgn0092191
XM_001961798	FBgn0092192
XM_001961800	FBgn0092193
XM_014906427	FBgn0092193
XM_001961802	FBgn0092194
XM_001961803	FBgn0092195
XM_001961805	FBgn0092196
XM_001961807	FBgn0092197
XM_014906428	FBgn0092197
XM_001961808	FBgn0092198
XM_014906429	FBgn0092198
XM_014906430	FBgn0092198
XM_001961809	FBgn0092199
XM_001961810	FBgn0092200
